taxon,first_species_number,median_relative_time,q25_relative_time,q75_relative_time,median_years_since_first_species,q25_years_since_first_species,q75_years_since_first_species,n_users_contributing
Birds,1,0,0,0,0,0,0,539
Birds,2,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0027378507871321013,0,0.04106776180698152,539
Birds,3,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.019164955509924708,0.0027378507871321013,0.11225188227241616,539
Birds,4,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.03559206023271732,0.0054757015742642025,0.18480492813141686,539
Birds,5,0.04040404040404041,0.04040404040404041,0.04040404040404041,0.049281314168377825,0.010951403148528405,0.23545516769336072,539
Birds,6,0.050505050505050504,0.050505050505050504,0.050505050505050504,0.06844626967830253,0.01642710472279261,0.2874743326488706,539
Birds,7,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.08487337440109514,0.019164955509924708,0.34223134839151265,539
Birds,8,0.0707070707070707,0.0707070707070707,0.0707070707070707,0.10130047912388775,0.02737850787132101,0.3887748117727584,539
Birds,9,0.08080808080808081,0.08080808080808081,0.08080808080808081,0.11772758384668036,0.03559206023271732,0.4353182751540041,539
Birds,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.14784394250513347,0.04106776180698152,0.4928131416837782,539
Birds,11,0.10101010101010101,0.10101010101010101,0.10101010101010101,0.16153319644079397,0.049281314168377825,0.5297741273100616,539
Birds,12,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1697467488021903,0.05475701574264202,0.5626283367556468,539
Birds,13,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.1806981519507187,0.06023271731690623,0.5982203969883642,539
Birds,14,0.13131313131313133,0.13131313131313133,0.13131313131313133,0.19164955509924708,0.06981519507186859,0.6351813826146475,539
Birds,15,0.1414141414141414,0.1414141414141414,0.1414141414141414,0.216290212183436,0.07665982203969883,0.6694045174537988,539
Birds,16,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.23819301848049282,0.07802874743326488,0.7186858316221766,539
Birds,17,0.16161616161616163,0.16161616161616163,0.16161616161616163,0.25735797399041754,0.08213552361396304,0.732375085557837,539
Birds,18,0.1717171717171717,0.1717171717171717,0.1717171717171717,0.26283367556468173,0.09582477754962354,0.7638603696098563,539
Birds,19,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2874743326488706,0.1054072553045859,0.8227241615331964,539
Birds,20,0.1919191919191919,0.1919191919191919,0.1919191919191919,0.3066392881587953,0.108145106091718,0.8678986995208762,539
Birds,21,0.20202020202020202,0.20202020202020202,0.20202020202020202,0.32854209445585214,0.11498973305954825,0.9103353867214237,539
Birds,22,0.21212121212121213,0.21212121212121213,0.21212121212121213,0.34770704996577684,0.12320328542094455,0.921286789869952,539
Birds,23,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.35592060232717315,0.12867898699520877,0.9500342231348391,539
Birds,24,0.23232323232323232,0.23232323232323232,0.23232323232323232,0.36960985626283366,0.13415468856947296,0.971937029431896,539
Birds,25,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.3805612594113621,0.14373716632443534,0.9952087611225189,539
Birds,26,0.25252525252525254,0.25252525252525254,0.25252525252525254,0.4024640657084189,0.15331964407939766,1.000684462696783,539
Birds,27,0.26262626262626265,0.26262626262626265,0.26262626262626265,0.4079397672826831,0.15879534565366188,1.028062970568104,539
Birds,28,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.4353182751540041,0.16974674880219026,1.0335386721423683,539
Birds,29,0.2828282828282828,0.2828282828282828,0.2828282828282828,0.44353182751540043,0.1834360027378508,1.058179329226557,539
Birds,30,0.29292929292929293,0.29292929292929293,0.29292929292929293,0.47638603696098564,0.19028062970568105,1.0787132101300478,539
Birds,31,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.49007529089664614,0.1998631074606434,1.0965092402464065,539
Birds,32,0.31313131313131315,0.31313131313131315,0.31313131313131315,0.49828884325804246,0.20670773442847365,1.1321013004791238,539
Birds,33,0.32323232323232326,0.32323232323232326,0.32323232323232326,0.5037645448323066,0.2108145106091718,1.163586584531143,539
Birds,34,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5119780971937029,0.2190280629705681,1.1718001368925393,539
Birds,35,0.3434343434343434,0.3434343434343434,0.3434343434343434,0.5448323066392882,0.2245037645448323,1.2019164955509924,539
Birds,36,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.5530458590006845,0.2299794661190965,1.216974674880219,539
Birds,37,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5667351129363449,0.2327173169062286,1.2813141683778233,539
Birds,38,0.37373737373737376,0.37373737373737376,0.37373737373737376,0.5804243668720055,0.24914442162902123,1.3319644079397672,539
Birds,39,0.3838383838383838,0.3838383838383838,0.3838383838383838,0.5859000684462696,0.2532511978097194,1.3689253935660506,539
Birds,40,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.5995893223819302,0.25735797399041754,1.3839835728952772,539
Birds,41,0.40404040404040403,0.40404040404040403,0.40404040404040403,0.6187542778918549,0.2683093771389459,1.3990417522245038,539
Birds,42,0.41414141414141414,0.41414141414141414,0.41414141414141414,0.6351813826146475,0.2806297056810404,1.4154688569472964,539
Birds,43,0.42424242424242425,0.42424242424242425,0.42424242424242425,0.6570841889117043,0.2943189596167009,1.4373716632443532,539
Birds,44,0.43434343434343436,0.43434343434343436,0.43434343434343436,0.6652977412731006,0.3052703627652293,1.4510609171800137,539
Birds,45,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6735112936344969,0.31759069130732376,1.4729637234770705,539
Birds,46,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.6817248459958932,0.3203285420944558,1.5140314852840522,539
Birds,47,0.46464646464646464,0.46464646464646464,0.46464646464646464,0.6954140999315537,0.33401779603011633,1.5633127994524298,539
Birds,48,0.47474747474747475,0.47474747474747475,0.47474747474747475,0.7173169062286106,0.34496919917864477,1.6057494866529773,539
Birds,49,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.7282683093771389,0.35592060232717315,1.6262833675564683,539
Birds,50,0.494949494949495,0.494949494949495,0.494949494949495,0.7392197125256673,0.3613963039014374,1.6687200547570158,539
Birds,51,0.5050505050505051,0.5050505050505051,0.5050505050505051,0.758384668035592,0.36960985626283366,1.672826830937714,539
Birds,52,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.7802874743326489,0.37782340862423,1.7125256673511293,539
Birds,53,0.5252525252525253,0.5252525252525253,0.5252525252525253,0.7939767282683093,0.4024640657084189,1.7426420260095825,539
Birds,54,0.5353535353535354,0.5353535353535354,0.5353535353535354,0.7994524298425736,0.42847364818617384,1.7590691307323751,539
Birds,55,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.8213552361396304,0.4421629021218344,1.7686516084873374,539
Birds,56,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8432580424366872,0.45722108145106094,1.7919233401779602,539
Birds,57,0.5656565656565656,0.5656565656565656,0.5656565656565656,0.8761122518822724,0.46406570841889117,1.809719370294319,539
Birds,58,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.9007529089664613,0.47775496235455167,1.835728952772074,539
Birds,59,0.5858585858585859,0.5858585858585859,0.5858585858585859,0.9034907597535934,0.48186173853524983,1.8631074606433948,539
Birds,60,0.5959595959595959,0.5959595959595959,0.5959595959595959,0.9226557152635181,0.487337440109514,1.8781656399726216,539
Birds,61,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.944558521560575,0.49828884325804246,1.9233401779603012,539
Birds,62,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.9582477754962354,0.5037645448323066,1.9383983572895276,539
Birds,63,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.9883641341546886,0.5256673511293635,1.9534565366187544,539
Birds,64,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.9965776865160849,0.5270362765229295,1.998631074606434,539
Birds,65,0.6464646464646465,0.6464646464646465,0.6464646464646465,1.0157426420260096,0.5297741273100616,2.015058179329227,539
Birds,66,0.6565656565656566,0.6565656565656566,0.6565656565656566,1.0212183436002737,0.5366187542778919,2.0602327173169064,539
Birds,67,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0431211498973305,0.5448323066392882,2.093086926762491,539
Birds,68,0.6767676767676768,0.6767676767676768,0.6767676767676768,1.0650239561943875,0.5585215605749486,2.1177275838466807,539
Birds,69,0.6868686868686869,0.6868686868686869,0.6868686868686869,1.0924024640657084,0.5763175906913074,2.1711156741957565,539
Birds,70,0.696969696969697,0.696969696969697,0.696969696969697,1.1143052703627652,0.5776865160848734,2.201232032854209,539
Birds,71,0.7070707070707071,0.7070707070707071,0.7070707070707071,1.1197809719370295,0.5776865160848734,2.2245037645448322,539
Birds,72,0.7171717171717171,0.7171717171717171,0.7171717171717171,1.1334702258726899,0.5954825462012321,2.2327173169062284,539
Birds,73,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.1416837782340863,0.5995893223819302,2.2518822724161534,539
Birds,74,0.7373737373737373,0.7373737373737373,0.7373737373737373,1.1718001368925393,0.6050650239561944,2.2628336755646816,539
Birds,75,0.7474747474747475,0.7474747474747475,0.7474747474747475,1.1964407939767283,0.6146475017111568,2.291581108829569,539
Birds,76,0.7575757575757576,0.7575757575757576,0.7575757575757576,1.2101300479123889,0.6310746064339494,2.298425735797399,539
Birds,77,0.7676767676767676,0.7676767676767676,0.7676767676767676,1.2402464065708418,0.6461327857631759,2.3121149897330597,539
Birds,78,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.264887063655031,0.6639288158795346,2.323066392881588,539
Birds,79,0.7878787878787878,0.7878787878787878,0.7878787878787878,1.3032169746748803,0.6844626967830253,2.3381245722108144,539
Birds,80,0.797979797979798,0.797979797979798,0.797979797979798,1.3141683778234086,0.6926762491444216,2.3819301848049284,539
Birds,81,0.8080808080808081,0.8080808080808081,0.8080808080808081,1.3470225872689938,0.7063655030800822,2.3874058863791925,539
Birds,82,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.374401095140315,0.7132101300479123,2.433949349760438,539
Birds,83,0.8282828282828283,0.8282828282828283,0.8282828282828283,1.3990417522245038,0.7200547570157426,2.4394250513347022,539
Birds,84,0.8383838383838383,0.8383838383838383,0.8383838383838383,1.4182067077344285,0.7515400410677617,2.4996577686516086,539
Birds,85,0.8484848484848485,0.8484848484848485,0.8484848484848485,1.4373716632443532,0.7542778918548939,2.546201232032854,539
Birds,86,0.8585858585858586,0.8585858585858586,0.8585858585858586,1.4647501711156743,0.7611225188227242,2.5557837097878164,539
Birds,87,0.8686868686868687,0.8686868686868687,0.8686868686868687,1.51129363449692,0.7693360711841205,2.6392881587953454,539
Birds,88,0.8787878787878788,0.8787878787878788,0.8787878787878788,1.5249828884325805,0.784394250513347,2.6584531143052703,539
Birds,89,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.568788501026694,0.7967145790554415,2.669404517453799,539
Birds,90,0.898989898989899,0.898989898989899,0.898989898989899,1.5989048596851472,0.8213552361396304,2.736481861738535,539
Birds,91,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.6290212183436004,0.8268309377138946,2.7405886379192332,539
Birds,92,0.9191919191919192,0.9191919191919192,0.9191919191919192,1.6837782340862424,0.8473648186173853,2.777549623545517,539
Birds,93,0.9292929292929293,0.9292929292929293,0.9292929292929293,1.7084188911704312,0.865160848733744,2.832306639288159,539
Birds,94,0.9393939393939394,0.9393939393939394,0.9393939393939394,1.7357973990417521,0.8856947296372348,2.869267624914442,539
Birds,95,0.9494949494949495,0.9494949494949495,0.9494949494949495,1.7659137577002053,0.8993839835728953,2.922655715263518,539
Birds,96,0.9595959595959596,0.9595959595959596,0.9595959595959596,1.7960301163586585,0.9103353867214237,3.02943189596167,539
Birds,97,0.9696969696969697,0.9696969696969697,0.9696969696969697,1.834360027378508,0.9390828199863108,3.0896646132785763,539
Birds,98,0.9797979797979798,0.9797979797979798,0.9797979797979798,1.8453114305270362,0.9527720739219713,3.164955509924709,539
Birds,99,0.98989898989899,0.98989898989899,0.98989898989899,1.919233401779603,0.9596167008898016,3.1950718685831623,539
Birds,100,1,1,1,1.946611909650924,0.9691991786447638,3.2799452429842573,539
Butterflies,1,0,0,0,0,0,0,103
Butterflies,2,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.01642710472279261,0.0027378507871321013,0.08898015058179329,103
Butterflies,3,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.04654346338124572,0.01642710472279261,0.1670088980150582,103
Butterflies,4,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.08213552361396304,0.01916495550992471,0.2518822724161533,103
Butterflies,5,0.04040404040404041,0.04040404040404041,0.04040404040404041,0.11498973305954825,0.034223134839151265,0.41752224503764546,103
Butterflies,6,0.050505050505050504,0.050505050505050504,0.050505050505050504,0.15058179329226556,0.042436687200547565,0.4914442162902122,103
Butterflies,7,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.15879534565366188,0.05612594113620807,0.7159479808350445,103
Butterflies,8,0.0707070707070707,0.0707070707070707,0.0707070707070707,0.2108145106091718,0.06981519507186859,0.7871321013004792,103
Butterflies,9,0.08080808080808081,0.08080808080808081,0.08080808080808081,0.2655715263518138,0.07529089664613278,0.8733744010951403,103
Butterflies,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2874743326488706,0.08761122518822724,0.9705681040383298,103
Butterflies,11,0.10101010101010101,0.10101010101010101,0.10101010101010101,0.31485284052019163,0.11225188227241616,1.0143737166324436,103
Butterflies,12,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.34496919917864477,0.14099931553730322,1.0294318959616702,103
Butterflies,13,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.405201916495551,0.14784394250513347,1.0308008213552362,103
Butterflies,14,0.13131313131313133,0.13131313131313133,0.13131313131313133,0.4216290212183436,0.15058179329226556,1.0609171800136892,103
Butterflies,15,0.1414141414141414,0.1414141414141414,0.1414141414141414,0.4216290212183436,0.15742642026009585,1.0773442847364818,103
Butterflies,16,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.5311430527036276,0.15879534565366188,1.1444216290212184,103
Butterflies,17,0.16161616161616163,0.16161616161616163,0.16161616161616163,0.6132785763175906,0.15879534565366188,1.2019164955509924,103
Butterflies,18,0.1717171717171717,0.1717171717171717,0.1717171717171717,0.6872005475701575,0.17385352498288842,1.247091033538672,103
Butterflies,19,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.7173169062286106,0.17796030116358658,1.273100616016427,103
Butterflies,20,0.1919191919191919,0.1919191919191919,0.1919191919191919,0.7200547570157426,0.19849418206707736,1.3374401095140316,103
Butterflies,21,0.20202020202020202,0.20202020202020202,0.20202020202020202,0.7282683093771389,0.1998631074606434,1.3429158110882957,103
Butterflies,22,0.21212121212121213,0.21212121212121213,0.21212121212121213,0.7802874743326489,0.2135523613963039,1.4154688569472964,103
Butterflies,23,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8295687885010267,0.24093086926762491,1.4798083504449009,103
Butterflies,24,0.23232323232323232,0.23232323232323232,0.23232323232323232,0.8542094455852156,0.2587268993839836,1.593429158110883,103
Butterflies,25,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.8542094455852156,0.2874743326488707,1.6016427104722792,103
Butterflies,26,0.25252525252525254,0.25252525252525254,0.25252525252525254,0.8542094455852156,0.2929500342231348,1.6290212183436004,103
Butterflies,27,0.26262626262626265,0.26262626262626265,0.26262626262626265,0.9007529089664613,0.36413415468856947,1.6372347707049966,103
Butterflies,28,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.9308692676249144,0.3874058863791923,1.7125256673511293,103
Butterflies,29,0.2828282828282828,0.2828282828282828,0.2828282828282828,0.9500342231348392,0.41752224503764546,1.7125256673511293,103
Butterflies,30,0.29292929292929293,0.29292929292929293,0.29292929292929293,0.9500342231348392,0.45995893223819306,1.7412731006160165,103
Butterflies,31,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.9500342231348392,0.4668035592060233,1.7659137577002053,103
Butterflies,32,0.31313131313131315,0.31313131313131315,0.31313131313131315,0.974674880219028,0.4736481861738535,1.787816563997262,103
Butterflies,33,0.32323232323232326,0.32323232323232326,0.32323232323232326,1.002053388090349,0.47501711156741955,1.7919233401779602,103
Butterflies,34,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.051334702258727,0.49007529089664614,1.838466803559206,103
Butterflies,35,0.3434343434343434,0.3434343434343434,0.3434343434343434,1.0704996577686516,0.5160848733744011,1.9041752224503763,103
Butterflies,36,0.35353535353535354,0.35353535353535354,0.35353535353535354,1.0896646132785763,0.5256673511293635,1.9575633127994525,103
Butterflies,37,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.108829568788501,0.5366187542778919,1.9808350444900753,103
Butterflies,38,0.37373737373737376,0.37373737373737376,0.37373737373737376,1.1225188227241616,0.537987679671458,1.9876796714579055,103
Butterflies,39,0.3838383838383838,0.3838383838383838,0.3838383838383838,1.1252566735112937,0.5407255304585901,2.0123203285420943,103
Butterflies,40,0.3939393939393939,0.3939393939393939,0.3939393939393939,1.1745379876796715,0.5995893223819302,2.0657084188911705,103
Butterflies,41,0.40404040404040403,0.40404040404040403,0.40404040404040403,1.1882272416153319,0.6379192334017796,2.11088295687885,103
Butterflies,42,0.41414141414141414,0.41414141414141414,0.41414141414141414,1.2265571526351813,0.6652977412731006,2.125941136208077,103
Butterflies,43,0.42424242424242425,0.42424242424242425,0.42424242424242425,1.2785763175906912,0.7022587268993841,2.2642026009582477,103
Butterflies,44,0.43434343434343436,0.43434343434343436,0.43434343434343436,1.3935660506502396,0.7282683093771389,2.3668720054757015,103
Butterflies,45,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.4264202600958247,0.7446954140999316,2.444900752908967,103
Butterflies,46,0.45454545454545453,0.45454545454545453,0.45454545454545453,1.51129363449692,0.7912388774811773,2.447638603696099,103
Butterflies,47,0.46464646464646464,0.46464646464646464,0.46464646464646464,1.516769336071184,0.7953456536618755,2.4996577686516086,103
Butterflies,48,0.47474747474747475,0.47474747474747475,0.47474747474747475,1.5195071868583163,0.7953456536618755,2.566735112936345,103
Butterflies,49,0.48484848484848486,0.48484848484848486,0.48484848484848486,1.5195071868583163,0.8281998631074606,2.566735112936345,103
Butterflies,50,0.494949494949495,0.494949494949495,0.494949494949495,1.5441478439425051,0.8473648186173854,2.566735112936345,103
Butterflies,51,0.5050505050505051,0.5050505050505051,0.5050505050505051,1.596167008898015,0.8487337440109515,2.566735112936345,103
Butterflies,52,0.5151515151515151,0.5151515151515151,0.5151515151515151,1.6591375770020533,0.8966461327857631,2.6447638603696095,103
Butterflies,53,0.5252525252525253,0.5252525252525253,0.5252525252525253,1.6700889801505818,0.9253935660506503,2.672142368240931,103
Butterflies,54,0.5353535353535354,0.5353535353535354,0.5353535353535354,1.7686516084873374,0.9377138945927447,2.6844626967830254,103
Butterflies,55,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.8617385352498288,0.9568788501026694,2.7967145790554415,103
Butterflies,56,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.8617385352498288,1.0225872689938398,2.8843258042436686,103
Butterflies,57,0.5656565656565656,0.5656565656565656,0.5656565656565656,1.8781656399726214,1.0458590006844628,3.0102669404517455,103
Butterflies,58,0.5757575757575758,0.5757575757575758,0.5757575757575758,1.943874058863792,1.0485968514715949,3.047227926078029,103
Butterflies,59,0.5858585858585859,0.5858585858585859,0.5858585858585859,1.9657768651608487,1.049965776865161,3.101984941820671,103
Butterflies,60,0.5959595959595959,0.5959595959595959,0.5959595959595959,1.9657768651608487,1.0595482546201231,3.1718001368925393,103
Butterflies,61,0.6060606060606061,0.6060606060606061,0.6060606060606061,1.9657768651608487,1.0650239561943873,3.238877481177276,103
Butterflies,62,0.6161616161616161,0.6161616161616161,0.6161616161616161,1.9657768651608487,1.1156741957563314,3.266255989048597,103
Butterflies,63,0.6262626262626263,0.6262626262626263,0.6262626262626263,1.9657768651608487,1.1170431211498975,3.4510609171800137,103
Butterflies,64,0.6363636363636364,0.6363636363636364,0.6363636363636364,1.9657768651608487,1.1485284052019165,3.45927446954141,103
Butterflies,65,0.6464646464646465,0.6464646464646465,0.6464646464646465,1.9657768651608487,1.1540041067761808,3.5071868583162216,103
Butterflies,66,0.6565656565656566,0.6565656565656566,0.6565656565656566,2.00684462696783,1.1745379876796715,3.6358658453114305,103
Butterflies,67,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.020533880903491,1.2101300479123887,3.6659822039698837,103
Butterflies,68,0.6767676767676768,0.6767676767676768,0.6767676767676768,2.083504449007529,1.216974674880219,3.815195071868583,103
Butterflies,69,0.6868686868686869,0.6868686868686869,0.6868686868686869,2.1711156741957565,1.2402464065708418,3.815195071868583,103
Butterflies,70,0.696969696969697,0.696969696969697,0.696969696969697,2.21492128678987,1.266255989048597,3.8247775496235454,103
Butterflies,71,0.7070707070707071,0.7070707070707071,0.7070707070707071,2.223134839151266,1.2772073921971252,3.9137577002053385,103
Butterflies,72,0.7171717171717171,0.7171717171717171,0.7171717171717171,2.4175222450376452,1.3086926762491444,3.9370294318959616,103
Butterflies,73,0.7272727272727273,0.7272727272727273,0.7272727272727273,2.4175222450376452,1.3155373032169746,3.958932238193018,103
Butterflies,74,0.7373737373737373,0.7373737373737373,0.7373737373737373,2.4175222450376452,1.3949349760438057,3.9808350444900755,103
Butterflies,75,0.7474747474747475,0.7474747474747475,0.7474747474747475,2.425735797399042,1.463381245722108,4,103
Butterflies,76,0.7575757575757576,0.7575757575757576,0.7575757575757576,2.425735797399042,1.5592060232717317,4.041067761806982,103
Butterflies,77,0.7676767676767676,0.7676767676767676,0.7676767676767676,2.425735797399042,1.596167008898015,4.12457221081451,103
Butterflies,78,0.7777777777777778,0.7777777777777778,0.7777777777777778,2.4640657084188913,1.623545516769336,4.295687885010267,103
Butterflies,79,0.7878787878787878,0.7878787878787878,0.7878787878787878,2.4777549623545516,1.697467488021903,4.30527036276523,103
Butterflies,80,0.797979797979798,0.797979797979798,0.797979797979798,2.4777549623545516,1.697467488021903,4.309377138945928,103
Butterflies,81,0.8080808080808081,0.8080808080808081,0.8080808080808081,2.5626283367556466,1.697467488021903,4.427104722792608,103
Butterflies,82,0.8181818181818182,0.8181818181818182,0.8181818181818182,2.6995208761122518,1.7303216974674882,4.69678302532512,103
Butterflies,83,0.8282828282828283,0.8282828282828283,0.8282828282828283,2.7104722792607805,1.7508555783709787,4.747433264887063,103
Butterflies,84,0.8383838383838383,0.8383838383838383,0.8383838383838383,2.7707049965776864,1.7768651608487338,4.777549623545516,103
Butterflies,85,0.8484848484848485,0.8484848484848485,0.8484848484848485,2.8227241615331966,1.8439425051334704,4.874743326488707,103
Butterflies,86,0.8585858585858586,0.8585858585858586,0.8585858585858586,2.836413415468857,1.8521560574948666,4.976043805612594,103
Butterflies,87,0.8686868686868687,0.8686868686868687,0.8686868686868687,2.9596167008898013,1.8767967145790556,4.996577686516085,103
Butterflies,88,0.8787878787878788,0.8787878787878788,0.8787878787878788,2.965092402464066,1.8986995208761122,5.062286105407256,103
Butterflies,89,0.8888888888888888,0.8888888888888888,0.8888888888888888,2.965092402464066,1.9233401779603012,5.112936344969199,103
Butterflies,90,0.898989898989899,0.898989898989899,0.898989898989899,2.965092402464066,1.943874058863792,5.137577002053388,103
Butterflies,91,0.9090909090909091,0.9090909090909091,0.9090909090909091,2.9924709103353866,2.0123203285420947,5.234770704996578,103
Butterflies,92,0.9191919191919192,0.9191919191919192,0.9191919191919192,2.9952087611225187,2.020533880903491,5.268993839835729,103
Butterflies,93,0.9292929292929293,0.9292929292929293,0.9292929292929293,3.02258726899384,2.0246406570841886,5.333333333333334,103
Butterflies,94,0.9393939393939394,0.9393939393939394,0.9393939393939394,3.1485284052019167,2.0533880903490758,5.336071184120465,103
Butterflies,95,0.9494949494949495,0.9494949494949495,0.9494949494949495,3.189596167008898,2.0657084188911705,5.3730321697467485,103
Butterflies,96,0.9595959595959596,0.9595959595959596,0.9595959595959596,3.249828884325804,2.10403832991102,5.382614647501711,103
Butterflies,97,0.9696969696969697,0.9696969696969697,0.9696969696969697,3.260780287474333,2.1177275838466807,5.441478439425051,103
Butterflies,98,0.9797979797979798,0.9797979797979798,0.9797979797979798,3.3429158110882957,2.1765913757700206,5.57015742642026,103
Butterflies,99,0.98989898989899,0.98989898989899,0.98989898989899,3.405886379192334,2.186173853524983,5.659137577002053,103
Butterflies,100,1,1,1,3.460643394934976,2.198494182067077,5.737166324435318,103
